date,symbol,signal,intent,has_position,run_timestamp
2025-12-19,AAPL,HOLD,DO_NOTHING,False,2025-12-19T15:26:06.155998
2025-12-19,MSFT,SELL,DO_NOTHING,False,2025-12-19T15:26:06.163052
2025-12-19,AAPL,HOLD,DO_NOTHING,False,2025-12-19T15:28:38.970963
2025-12-19,MSFT,SELL,DO_NOTHING,False,2025-12-19T15:28:38.978453
2025-12-19,AAPL,HOLD,DO_NOTHING,False,2025-12-19T15:33:02.045388
2025-12-19,MSFT,SELL,DO_NOTHING,False,2025-12-19T15:33:02.052917
2025-12-19,AAPL,HOLD,OPEN_LONG,False,2025-12-19T15:35:52.517823
2025-12-19,MSFT,SELL,DO_NOTHING,False,2025-12-19T15:35:52.525899
2025-12-19,AAPL,HOLD,CLOSE_POSITION,True,2025-12-19T15:39:26.114175
2025-12-19,MSFT,SELL,DO_NOTHING,False,2025-12-19T15:39:26.121993
2025-12-19,AAPL,HOLD,OPEN_LONG,False,2025-12-19T15:48:45.094784
2025-12-19,MSFT,SELL,DO_NOTHING,False,2025-12-19T15:48:45.104704
2025-12-19,AAPL,HOLD,CLOSE_POSITION,True,2025-12-19T15:50:23.182561
2025-12-19,MSFT,SELL,DO_NOTHING,False,2025-12-19T15:50:23.193407
2025-12-19,AAPL,HOLD,OPEN_LONG,False,2025-12-19T15:52:32.959227
2025-12-19,MSFT,SELL,DO_NOTHING,False,2025-12-19T15:52:32.968928
2025-12-19,AAPL,HOLD,DO_NOTHING,True,2025-12-19T18:25:13.465950
2025-12-19,MSFT,SELL,DO_NOTHING,False,2025-12-19T18:25:13.473418
2025-12-19,AAPL,HOLD,OPEN_LONG,True,2025-12-19T18:31:10.470382
2025-12-19,AAPL,HOLD,DO_NOTHING,True,2025-12-19T18:32:17.451634
2025-12-19,MSFT,SELL,DO_NOTHING,False,2025-12-19T18:32:17.459203
